OuterFold,Label,OuterTrainN,GoldPositive,GoldNegative,InnerCVSplits,InnerCVRepeats,InnerOOF_AUROC,InnerOOF_AP,InnerOOF_Brier,InnerPrior_Brier,InnerBrierImprovementVsPrior,InnerOOF_LogLoss,EvidenceAvailableN,EvidenceCoverage,EvidenceOnly_AUROC,EvidenceOnly_AP,EvidenceOnly_Brier,EvidenceOnly_Prior_Brier,EvidenceOnly_BrierImprovementVsPrior,OuterTrainPriorProbability,OuterTrainEvidencePriorProbability,PseudoLabelGateReason,PseudoLabelGatePass
4,ACL,47,19,28,5,5,0.9285714285714286,0.9367640916015525,0.09138617107287944,0.24083295608872785,0.1494467850158484,0.3331158606194318,32,0.6808510638297872,0.9843137254901961,0.9856737793156478,0.0709531820122273,0.2490234375,0.1780702554877727,0.40425531914893614,0.53125,pass,True
4,MCL,47,7,40,5,5,0.9285714285714285,0.6055555555555555,0.111531646001947,0.1267541874151199,0.015222541413172905,0.39075701157908793,26,0.5531914893617021,0.8571428571428572,0.611050061050061,0.15772781273576825,0.19674556213017758,0.03901774939440933,0.14893617021276595,0.2692307692307692,pass,True
4,Medial Meniscus,47,21,26,5,5,0.804029304029304,0.7946041056300117,0.1615042374946023,0.24717066545948385,0.08566642796488155,0.5049788857460185,28,0.5957446808510638,0.839572192513369,0.863119170283166,0.14557328462188485,0.23852040816326534,0.09294712354138049,0.44680851063829785,0.6071428571428571,pass,True
4,Lateral Meniscus,47,19,28,5,5,0.8383458646616541,0.7178769111980722,0.15401855937374628,0.24083295608872787,0.08681439671498159,0.48742047899024826,35,0.7446808510638298,0.89,0.7555811634759003,0.1269638129985124,0.2448979591836734,0.11793414618516102,0.40425531914893614,0.42857142857142855,pass,True
4,Medial OA,47,12,35,5,5,0.7142857142857143,0.6418554790073877,0.16925581780951895,0.19013128112267996,0.020875463313161008,0.5169422667329121,7,0.14893617021276595,0.8,0.9428571428571428,0.20398607673261296,0.2040816326530612,9.555592044824257e-05,0.2553191489361702,0.7142857142857143,insufficient_evidence_n,False
4,Lateral OA,47,9,38,5,5,0.43567251461988304,0.2795820434333439,0.1771643857016867,0.1548211860570394,-0.022343199644647288,0.5423719857623355,2,0.0425531914893617,1.0,1.0,0.23602066244316827,0.25,0.013979337556831728,0.19148936170212766,0.5,insufficient_evidence_n,False
4,PF OA,47,16,31,5,5,0.7076612903225806,0.6223933902932545,0.18293977551663224,0.22453598913535536,0.04159621361872312,0.5568685101853287,7,0.14893617021276595,0.0,0.7345238095238095,0.15839551869271987,0.12244897959183675,-0.03594653910088312,0.3404255319148936,0.8571428571428571,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
4,Effusion,47,28,19,5,5,0.6278195488721805,0.7223492260130286,0.2230734186944302,0.24083295608872787,0.01775953739429767,0.636456448131172,41,0.8723404255319149,0.7034313725490197,0.7635653588925645,0.21079109579479904,0.2427126710291493,0.03192157523435027,0.5957446808510638,0.5853658536585366,pass,True
4,Synovitis,47,22,25,5,5,0.5218181818181818,0.5269035821943101,0.24627915076559898,0.24898143956541424,0.0027022887998152667,0.694993846560348,14,0.2978723404255319,0.17500000000000002,0.5936607836607837,0.26694872447621537,0.20408163265306123,-0.06286709182315414,0.46808510638297873,0.7142857142857143,insufficient_evidence_n|evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
4,Baker's,47,10,37,5,5,0.7756756756756756,0.7568591291533011,0.11391279022136983,0.16749660479855144,0.053583814577181615,0.3927123982736708,18,0.3829787234042553,0.8875,0.8950216450216449,0.14073438361159718,0.2469135802469136,0.10617919663531641,0.2127659574468085,0.4444444444444444,pass,True
4,Contusion,47,15,32,5,5,0.7229166666666667,0.4659442921685485,0.19854035405361176,0.21729289271163427,0.01875253865802251,0.5892403093363124,30,0.6382978723404256,0.5446428571428572,0.47593410185760626,0.25375460622309826,0.24888888888888888,-0.004865717334209374,0.3191489361702128,0.4666666666666667,evidence_auc_below_gate|evidence_brier_not_better_than_prior,False
