OuterFold,Label,Source,TrainN,PositiveN,RawAUROC,Inverted,OrientedAUROC,OrientedAP,OrientedBrier,ReliabilityQuality,PlattFitted,PlattCoefficient,PlattIntercept
2,Medial Meniscus,w23,46,20,0.826923076923077,False,0.826923076923077,0.807357089878459,0.13545641359444355,0.45571095571095577,True,0.7404474923645534,-0.0176331594120227
2,Lateral Meniscus,w23,46,18,0.7301587301587301,False,0.7301587301587301,0.5786005212947375,0.19649026284633198,0.3208273208273207,True,0.4697017938806683,0.057523968257289046
2,Medial OA,w23,46,11,0.7636363636363638,False,0.7636363636363638,0.6836536048492571,0.1503363930748432,0.36749311294765863,True,0.5452398319045887,0.06295923352939242
2,Lateral OA,w23,46,9,0.5885885885885886,False,0.5885885885885886,0.44484812130160967,0.15577633534020655,0.12348712348712354,True,0.3592527846608672,0.1913663832318012
2,PF OA,w23,46,17,0.7505070993914806,False,0.7505070993914806,0.7285058892877248,0.17038024735811524,0.3491917143032761,True,0.571401642475304,0.09264106082043419
2,Effusion,w23,46,28,0.6626984126984127,False,0.6626984126984127,0.710433587050805,0.21927507611849834,0.22679172679172677,True,0.2947459965401815,-0.04956041483406418
2,Synovitis,w23,46,22,0.4867424242424243,False,0.4867424242424243,0.508335383865766,0.255963254327125,0.03,True,0.021190127745566164,0.0009981057143857084
2,Baker's,w23,46,9,0.7537537537537538,False,0.7537537537537538,0.7344215097838287,0.12267408590759495,0.3537173537173537,True,0.6733988319192054,0.14061076228152156
2,Contusion,w23,46,16,0.7375,False,0.7375,0.5935691223990036,0.20395585395520094,0.33106060606060606,True,0.4087210760912677,0.07880131694201818
2,Fracture,w23,46,14,0.7790178571428572,False,0.7790178571428572,0.5693000827853045,0.17628706160837018,0.3889339826839828,True,0.5179944433539645,0.13628123951438115
2,ACL,primary_teacher,45,18,0.9989711934156379,False,0.9989711934156379,0.9970760233918129,0.07778666666666667,0.690883190883191,True,0.9233103323590929,-0.8120675347414181
2,MCL,primary_teacher,45,7,0.9774436090225564,False,0.9774436090225564,0.8095238095238095,0.09967111111111114,0.6610757663389242,True,0.8966009138856743,-0.19802445623361148
2,Medial Meniscus,primary_teacher,45,20,0.9339999999999999,False,0.9339999999999999,0.8972222222222221,0.10892444444444445,0.6009230769230769,True,0.7331365785067034,-0.2112795030465785
2,Lateral Meniscus,primary_teacher,45,18,0.8251028806584362,False,0.8251028806584362,0.7189103160837882,0.17611555555555555,0.45014245014245,True,0.5190847881072359,-0.05084021918272507
2,Medial OA,primary_teacher,45,11,0.9411764705882353,False,0.9411764705882353,0.8245614035087719,0.13091555555555554,0.6108597285067874,True,0.8261479645144222,-0.4374196161628008
2,Lateral OA,primary_teacher,45,9,0.7561728395061729,False,0.7561728395061729,0.48609168609168607,0.16973333333333332,0.3547008547008548,True,0.43918090913842184,0.009436744597589062
2,PF OA,primary_teacher,45,16,0.9127155172413792,False,0.9127155172413792,0.8732998084291188,0.11896000000000002,0.5714522546419096,True,0.7076489132253923,-0.034192740344650904
2,Effusion,primary_teacher,45,27,0.8168724279835392,False,0.8168724279835392,0.8250487329434699,0.17990222222222224,0.4387464387464388,True,0.6070818952851802,-0.4861088888761132
2,Synovitis,primary_teacher,45,22,0.6640316205533597,False,0.6640316205533597,0.6219114219114219,0.22511111111111112,0.22712070538157514,True,0.37918817410707834,0.141027546338281
2,Baker's,primary_teacher,45,9,0.9290123456790123,False,0.9290123456790123,0.7632275132275133,0.10687111111111114,0.5940170940170937,True,0.8482040785881032,-0.05149955422750976
2,Contusion,primary_teacher,45,15,0.7377777777777779,False,0.7377777777777779,0.5732204073401895,0.27141333333333334,0.32923076923076944,True,0.4061383607446267,-0.25392683263596283
2,Fracture,primary_teacher,45,13,0.844951923076923,False,0.844951923076923,0.646255060728745,0.15306666666666668,0.47762573964497035,True,0.6649220579327094,-0.01248591544955223
3,ACL,w23,47,19,0.943609022556391,False,0.943609022556391,0.9528567407824371,0.08779370067908358,0.6223768376164291,True,0.9103820570458706,-0.035235049444031344
3,MCL,w23,47,7,0.9428571428571428,False,0.9428571428571428,0.6349567099567099,0.10468931885308834,0.621321961620469,True,0.9453596897993041,0.08966268743675676
3,Medial Meniscus,w23,47,21,0.8003663003663002,False,0.8003663003663002,0.7696414412793757,0.15190626607479757,0.4214094363348093,True,0.6941910664337658,0.015557246419575226
3,Lateral Meniscus,w23,47,19,0.7951127819548872,False,0.7951127819548872,0.7124486026926499,0.15578283278198327,0.41403882841431927,True,0.6609929820397881,0.055785058628584114
3,Medial OA,w23,47,13,0.7488687782805431,False,0.7488687782805431,0.6373116455265284,0.17650890660874927,0.34915918146822467,True,0.4411641184886648,0.05439383053501629
3,Lateral OA,w23,47,9,0.5263157894736842,False,0.5263157894736842,0.3138806489994945,0.17289007897168338,0.0369206598586016,True,0.1253846966569798,0.08191129707250244
3,PF OA,w23,47,17,0.6490196078431372,False,0.6490196078431372,0.6399668366631827,0.1986310826786691,0.20907228563067015,True,0.4153521525727764,0.07737714394873062
3,Effusion,w23,47,28,0.6522556390977443,False,0.6522556390977443,0.7051100030594992,0.22019451382756225,0.21361238918190995,True,0.32587850638833593,-0.03830922979512556
3,Synovitis,w23,47,21,0.5366300366300366,False,0.5366300366300366,0.5138140207910455,0.2372525127918638,0.051391394674976665,True,0.1525826625260457,-0.001245079506710711
3,Baker's,w23,47,10,0.7648648648648648,False,0.7648648648648648,0.7030081974762825,0.12722529001844315,0.3716014521984672,True,0.7162381264968025,0.15204885514735575
3,Contusion,w23,47,15,0.8145833333333334,False,0.8145833333333334,0.6562049033045674,0.16898824417912392,0.441355721393035,True,0.5998184506864084,0.12475490441688475
3,Fracture,w23,47,14,0.7857142857142857,False,0.7857142857142857,0.6361402485278184,0.16887327744957836,0.40085287846481865,True,0.5380114287655489,0.13395112806268675
3,ACL,primary_teacher,46,18,1.0,False,1.0,1.0,0.09765217391304346,0.696969696969697,True,0.9053812361062588,-0.9405110539238813
3,MCL,primary_teacher,46,7,0.9725274725274724,False,0.9725274725274724,0.7857142857142857,0.0953217391304348,0.6586746586746584,True,0.8787614195102372,-0.19876119574535875
3,Medial Meniscus,primary_teacher,46,21,0.9561904761904761,False,0.9561904761904761,0.9135610766045548,0.09943478260869563,0.635901875901876,True,0.8275287889434,-0.385603176770133
3,Lateral Meniscus,primary_teacher,46,19,0.8567251461988303,False,0.8567251461988303,0.7419145690312738,0.1499478260869565,0.4972532340953393,True,0.6173689667906358,-0.12035465193169086
3,Medial OA,primary_teacher,46,13,0.9044289044289044,False,0.9044289044289044,0.8192504426519772,0.11273043478260869,0.5637493819312,True,0.716601519966455,-0.09084903501843329
3,Lateral OA,primary_teacher,46,9,0.7492492492492493,False,0.7492492492492493,0.44091415830546266,0.1628,0.34743834743834756,True,0.44791748286798966,0.11220108719278366
3,PF OA,primary_teacher,46,16,0.8739583333333333,False,0.8739583333333333,0.8226692574765249,0.14384347826086955,0.5212752525252524,True,0.6199037744903514,0.045714055812307
3,Effusion,primary_teacher,46,27,0.8177387914230019,False,0.8177387914230019,0.8223251028806584,0.1748347826086957,0.44290861834721484,True,0.6285225472180846,-0.47023393742996006
3,Synovitis,primary_teacher,46,21,0.6980952380952382,False,0.6980952380952382,0.6359558316080055,0.20248695652173918,0.27613275613275623,True,0.47301240766931985,0.18162287906129063
3,Baker's,primary_teacher,46,10,0.9263888888888888,False,0.9263888888888888,0.7336996336996336,0.10668695652173917,0.5943602693602692,True,0.8496103010967183,-0.05087888320481015
3,Contusion,primary_teacher,46,14,0.7310267857142857,False,0.7310267857142857,0.5209149424184762,0.27406086956521736,0.32203733766233755,True,0.39604186526159496,-0.2075273292701901
3,Fracture,primary_teacher,46,13,0.8496503496503497,False,0.8496503496503497,0.6570506416660263,0.1378,0.4873913964823058,True,0.6613408628128625,0.11176629805026839
4,ACL,w23,47,19,0.9285714285714286,False,0.9285714285714286,0.9367640916015525,0.09138617107287943,0.6012793176972282,True,0.8828146317427749,-0.02007733747829296
4,MCL,w23,47,7,0.9285714285714285,False,0.9285714285714285,0.6055555555555555,0.11153164600194695,0.601279317697228,True,0.8637534662202018,0.23587446151629032
4,Medial Meniscus,w23,47,21,0.804029304029304,False,0.804029304029304,0.7946041056300117,0.16150423749460227,0.4265485758023071,True,0.6626434862028167,0.01605511268641934
4,Lateral Meniscus,w23,47,19,0.8383458646616541,False,0.8383458646616541,0.7178769111980722,0.15401855937374623,0.4746941981820221,True,0.6987765338534739,0.0346555250791318
4,Medial OA,w23,47,12,0.7142857142857143,False,0.7142857142857143,0.6418554790073877,0.16925581780951895,0.3006396588486142,True,0.4663920941203221,0.06503637291316362
4,Lateral OA,w23,47,9,0.43567251461988304,False,0.43567251461988304,0.2795820434333439,0.1771643857016867,0.03,True,0.05215479725314409,0.0344603855569354
4,PF OA,w23,47,16,0.7076612903225806,False,0.7076612903225806,0.6223933902932545,0.18293977551663224,0.29134569090033713,True,0.4949931767231348,0.11060158333880826
4,Effusion,w23,47,28,0.6278195488721805,False,0.6278195488721805,0.7223492260130286,0.22307341869443026,0.17932891931320838,True,0.30302016119203945,-0.04081237215192735
4,Synovitis,w23,47,22,0.5218181818181818,False,0.5218181818181818,0.5269035821943101,0.24627915076559892,0.030610583446404327,True,0.11648572413628325,0.00762029766020341
4,Baker's,w23,47,10,0.7756756756756756,False,0.7756756756756756,0.7568591291533011,0.11391279022136985,0.38676885841064945,True,0.7140097079407182,0.09645742232016545
4,Contusion,w23,47,15,0.7229166666666667,False,0.7229166666666667,0.4659442921685485,0.19854035405361176,0.3127487562189055,True,0.4232981572478465,0.10506991925032053
4,Fracture,w23,47,15,0.78125,False,0.78125,0.6386529573486095,0.16313222261021412,0.3945895522388061,True,0.6106551757937259,0.1552091330162175
4,ACL,primary_teacher,46,18,0.9970238095238095,False,0.9970238095238095,0.9920634920634921,0.09214782608695651,0.6928210678210678,True,0.8992010720594058,-0.8413258929280364
4,MCL,primary_teacher,46,7,0.9725274725274725,False,0.9725274725274725,0.7857142857142857,0.10001739130434785,0.6586746586746588,True,0.8873373103053616,-0.25289506334011813
4,Medial Meniscus,primary_teacher,46,21,0.9314285714285714,False,0.9314285714285714,0.893167701863354,0.09730434782608696,0.6013852813852814,True,0.7494089263636055,-0.10780095936325867
4,Lateral Meniscus,primary_teacher,46,19,0.8918128654970758,False,0.8918128654970758,0.8259496567505721,0.1469913043478261,0.546163388268651,True,0.6512028937058237,-0.1702011217970576
4,Medial OA,primary_teacher,46,12,0.8823529411764706,False,0.8823529411764706,0.7578502415458936,0.13561739130434783,0.5329768270944741,True,0.6677353770718714,-0.10800194188849671
4,Lateral OA,primary_teacher,46,9,0.7522522522522522,False,0.7522522522522522,0.44091415830546266,0.16519999999999999,0.35162435162435157,True,0.43969081090823753,0.08572434549718261
4,PF OA,primary_teacher,46,15,0.8741935483870968,False,0.8741935483870968,0.8267391304347826,0.14794782608695653,0.5216031280547408,True,0.628766537173144,-0.05836347418954188
4,Effusion,primary_teacher,46,27,0.8255360623781676,False,0.8255360623781676,0.8300925925925926,0.17241739130434783,0.4537775414968397,True,0.6367975436038351,-0.43954941033833983
4,Synovitis,primary_teacher,46,22,0.7159090909090909,False,0.7159090909090909,0.669339356295878,0.20079130434782613,0.3009641873278237,True,0.4880125417002457,0.13254576378461888
4,Baker's,primary_teacher,46,10,0.9194444444444445,False,0.9194444444444445,0.7104700854700855,0.10977391304347828,0.5846801346801347,True,0.8430267190429219,-0.02869801106890207
4,Contusion,primary_teacher,46,14,0.7868303571428572,False,0.7868303571428572,0.5366446671865391,0.24251304347826086,0.3998241341991342,True,0.5663293818952687,-0.33786257776243556
4,Fracture,primary_teacher,46,14,0.8973214285714286,False,0.8973214285714286,0.7511337868480725,0.13393043478260871,0.5538419913419914,True,0.7502672411318269,-0.12256500801526547
5,ACL,w23,45,19,0.9291497975708501,False,0.9291497975708501,0.9428780607349123,0.09391066638122442,0.5942074120211771,True,0.8708802768694885,-0.009746495298257307
5,MCL,w23,45,7,0.8984962406015038,False,0.8984962406015038,0.5262515262515263,0.12218887114045594,0.5517640254482359,True,0.785638641495654,0.2696033661233591
5,Medial Meniscus,w23,45,21,0.878968253968254,False,0.878968253968254,0.9194433261383728,0.10877283523751956,0.5247252747252746,True,0.828924069082727,0.024906265088918453
5,Lateral Meniscus,w23,45,18,0.7633744855967077,False,0.7633744855967077,0.6977640788124658,0.17695004094535058,0.3646723646723644,True,0.5578073057632643,0.04531118051820342
5,Medial OA,w23,45,12,0.6666666666666667,False,0.6666666666666667,0.46516903997524145,0.20723306629836297,0.23076923076923084,True,0.2630901144927489,0.049575809371687346
5,Lateral OA,w23,45,9,0.5370370370370371,False,0.5370370370370371,0.45756583706947423,0.15743732333938779,0.05128205128205132,True,0.35145015228482346,0.17797868164793723
5,PF OA,w23,45,17,0.5945378151260504,False,0.5945378151260504,0.6702716781326103,0.19056399570821358,0.1308985132514544,True,0.46122169140072306,0.07428909196665899
5,Effusion,w23,45,28,0.7226890756302521,False,0.7226890756302521,0.7836294030810204,0.20731001038295274,0.308338720103426,True,0.385685637269558,-0.062247943513993
5,Synovitis,w23,45,22,0.525691699604743,False,0.525691699604743,0.6111711465751387,0.2236653901532852,0.035573122529644285,True,0.2917417650252351,-0.01261226091365267
5,Baker's,w23,45,10,0.8571428571428571,False,0.8571428571428571,0.7708036408036407,0.11023573130429713,0.4945054945054945,True,0.79253151720412,0.05505565058404431
5,Contusion,w23,45,15,0.7711111111111112,False,0.7711111111111112,0.744577184228347,0.1610248618256922,0.3753846153846154,True,0.604551530588686,0.08359715196236729
5,Fracture,w23,45,15,0.7911111111111111,False,0.7911111111111111,0.7377313799687497,0.14348958189076857,0.4030769230769231,True,0.6736437565949756,0.10762990841289305
5,ACL,primary_teacher,45,19,0.9959514170040485,False,0.9959514170040485,0.9908466819221968,0.1119911111111111,0.6867019620056056,True,0.9017693797492456,-1.0018833497341613
5,MCL,primary_teacher,45,7,0.9661654135338346,False,0.9661654135338346,0.7428571428571429,0.12460444444444446,0.64545980335454,True,0.8674596701542127,-0.28495707150009675
5,Medial Meniscus,primary_teacher,45,21,0.9404761904761905,False,0.9404761904761905,0.9182626896912611,0.10575111111111112,0.6098901098901099,True,0.7429960535144996,-0.2169874932387237
5,Lateral Meniscus,primary_teacher,45,18,0.8292181069958848,False,0.8292181069958848,0.7161111111111111,0.1792,0.45584045584045585,True,0.5311734292990828,-0.13700640382411225
5,Medial OA,primary_teacher,45,12,0.8939393939393938,False,0.8939393939393938,0.7907407407407407,0.13546666666666665,0.5454545454545454,True,0.6802094973345025,-0.17242154826060166
5,Lateral OA,primary_teacher,45,9,0.8395061728395061,False,0.8395061728395061,0.581024531024531,0.15010666666666667,0.47008547008546997,True,0.6006488995982077,-0.10893033360748097
5,PF OA,primary_teacher,45,17,0.9212184873949579,False,0.9212184873949579,0.8708397832817338,0.11611555555555558,0.5832255979314802,True,0.7521437027318242,-0.007010643495031764
5,Effusion,primary_teacher,45,28,0.8613445378151261,False,0.8613445378151261,0.8767857142857143,0.16348444444444443,0.5003232062055591,True,0.6660622642613921,-0.5376873037426722
5,Synovitis,primary_teacher,45,22,0.7104743083003954,False,0.7104743083003954,0.7005509641873278,0.2018222222222223,0.291425965339009,True,0.5231336835614969,0.2386327883661894
5,Baker's,primary_teacher,45,10,0.9199999999999999,False,0.9199999999999999,0.7106837606837606,0.11115555555555558,0.5815384615384613,True,0.8475123153357838,-0.043435900106535134
5,Contusion,primary_teacher,45,15,0.7922222222222222,False,0.7922222222222222,0.6257004830917874,0.2503022222222222,0.4046153846153846,True,0.464511727363668,-0.2708171105669214
5,Fracture,primary_teacher,45,15,0.9066666666666667,False,0.9066666666666667,0.8509803921568627,0.10445333333333336,0.5630769230769233,True,0.7853022891380504,0.17113630582878517
